dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2023-09-25T06:00:00Z,2023-09-25T17:00:00Z,Cours-2543-14-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-02T06:00:00Z,2023-10-02T17:00:00Z,Cours-2543-15-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-23T06:00:00Z,2023-10-23T17:00:00Z,Cours-2543-18-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-30T07:00:00Z,2023-10-30T18:00:00Z,Cours-2543-19-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-11-20T07:00:00Z,2023-11-20T18:00:00Z,Cours-2543-22-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-11-27T07:00:00Z,2023-11-27T18:00:00Z,Cours-2543-23-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-01-15T07:00:00Z,2024-01-15T18:00:00Z,Cours-2543-30-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-01-22T07:00:00Z,2024-01-22T18:00:00Z,Cours-2543-31-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-02-19T07:00:00Z,2024-02-19T18:00:00Z,Cours-2543-35-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-02-26T07:00:00Z,2024-02-26T18:00:00Z,Cours-2543-36-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-03-25T07:00:00Z,2024-03-25T18:00:00Z,Cours-2543-40-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-04-22T06:00:00Z,2024-04-22T17:00:00Z,Cours-2543-44-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-04-29T06:00:00Z,2024-04-29T17:00:00Z,Cours-2543-45-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-05-06T06:00:00Z,2024-05-06T17:00:00Z,Cours-2543-46-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-05-27T06:00:00Z,2024-05-27T17:00:00Z,Cours-2543-49-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-06-03T06:00:00Z,2024-06-03T17:00:00Z,Cours-2543-50-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-06-10T06:00:00Z,2024-06-10T17:00:00Z,Cours-2543-51-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-06-17T06:00:00Z,2024-06-17T17:00:00Z,Cours-2543-52-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-06-24T06:00:00Z,2024-06-24T17:00:00Z,Cours-2543-53-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-07-01T06:00:00Z,2024-07-01T17:00:00Z,Cours-2543-54-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-09-26T06:00:00Z,2023-09-26T17:00:00Z,Cours-2548-14-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-03T06:00:00Z,2023-10-03T17:00:00Z,Cours-2548-15-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-24T06:00:00Z,2023-10-24T17:00:00Z,Cours-2548-18-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
